Keyword,Difficulty,"Search vol.","Search intent","SERP features",CPC,Competition
"safari tours in sri lanka",5,170,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches, Sites",1.03,0.71
"sri lanka tour visa",38,170,I,"People also ask, Bottom Ads, AI Overview, Related searches",1.15,0.47
"private tour in sri lanka",5,170,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches",3.02,0.67
"private tours sri lanka",4,170,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches, Sites",3.02,0.67
"private tours in sri lanka",5,170,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",3.02,0.67
"sri lanka honeymoon tour",18,170,I,"Reviews, Video, Images, Bottom Ads, AI Overview, Related searches, Sites",1,0.69
"safari tour in sri lanka",12,170,I,"Reviews, Video, People also ask, AI Overview, Related searches",1.03,0.71
"sri lanka private tour",4,170,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches, Sites",3.02,0.67
"safari tour sri lanka",5,170,"L, C","Local pack, Reviews, Video, People also ask, Images, Bottom Ads, Related searches, Sites",1.03,0.71
"private tours of sri lanka",4,170,"L, C","Local pack, Reviews, Video, People also ask, AI Overview, Related searches, Sites",3.02,0.67
"sri lanka safari tour",10,170,"L, C","Local pack, Reviews, Video, People also ask, Images, Bottom Ads, Related searches, Image",1.03,0.71
"private sri lanka tours",4,170,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",3.02,0.67
"honeymoon tours sri lanka",17,170,"L, C","Local pack, Reviews, Video, People also ask, AI Overview, Related searches, Sites",1,0.69
"private tour of sri lanka",5,170,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",3.02,0.67
"sri lanka tour and beach holiday",6,140,I,"Reviews, Video, People also ask, Bottom Ads, Related searches",1.6,0.78
"tours sri lanka and maldives",10,140,I,"Reviews, Video, AI Overview, Related searches, Sites",1.63,0.7
"tour guide in sri lanka",5,140,I,"Reviews, Video, Bottom Ads, AI Overview, Related searches, Sites",1.32,0.61
"sri lanka tour and maldives",6,140,I,"Reviews, Video, Top Ads, Bottom Ads, AI Overview, Related searches, Sites",1.63,0.7
"wildlife tours sri lanka",7,140,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",1.41,0.55
"sri lanka wildlife tours",4,140,"L, C","Local pack, Reviews, Video, Images, Bottom Ads, Related searches, Sites",1.41,0.55
"sri lanka tour and beach holidays",6,140,I,"Reviews, Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches",1.6,0.78
"tour guides sri lanka",7,140,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",1.32,0.61
"sri lanka tour guides",4,140,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches, Sites",1.32,0.61
"tour sri lanka and maldives",5,140,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",1.63,0.7
"tour of sri lanka",10,140,I,"Reviews, Video, People also ask, AI Overview, Related searches, Image, Sites",2.24,0.73
"maldives and sri lanka tour",10,140,I,"Reviews, Video, Bottom Ads, AI Overview, Related searches",1.63,0.7
"sri lanka maldives package tour",5,140,I,"Reviews, Video, AI Overview, Related searches",1.25,0.77
"guided tours of sri lanka",10,140,I,"Reviews, Video, Top Ads, Bottom Ads, AI Overview, Related searches, Sites",1.32,0.61
"tours of sri lanka and maldives",5,140,I,"Reviews, Video, People also ask, Bottom Ads, Related searches",1.63,0.7
"sri lanka wildlife tour",10,140,"L, C","Local pack, Reviews, Video, Bottom Ads, AI Overview, Related searches",1.41,0.55
"maldives and sri lanka tour packages",5,140,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",1.25,0.77
"sri lanka tour guide",15,140,I,"Reviews, Video, Bottom Ads, Related searches, Sites",1.32,0.61
"sri lanka beach and tour holidays",5,140,I,"Reviews, Video, Bottom Ads, AI Overview, Related searches",1.6,0.78
"sri lanka and maldives tour",5,140,"I, N","Reviews, Video, People also ask, Images, Bottom Ads, Copyright infringement, AI Overview, Related searches, Sites",1.63,0.7
"tour guide sri lanka",7,140,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",1.32,0.61
"sri lanka and maldives tours",4,140,"L, C","Local pack, Reviews, Video, AI Overview, Related searches",1.63,0.7
"sri lanka tours and maldives",4,140,"L, C","Local pack, Reviews, Video, Bottom Ads, AI Overview, Related searches, Sites",1.63,0.7
"tour guides in sri lanka",9,140,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",1.32,0.61
"wildlife tour sri lanka",4,140,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",1.41,0.55
"tour packages to maldives from sri lanka",5,140,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",1.25,0.77
"cycling sri lanka tour",4,110,"L, C","Local pack, Reviews, Video, Related searches, Sites",1.16,0.52
"bike tours in sri lanka",7,110,"L, C","Local pack, Reviews, Video, Sites",1.16,0.52
"walkers tours sri lanka",13,110,"L, C","Reviews, Video, People also ask, GBP",2.24,0.46
"sri lanka bike tour",4,110,"L, C","Local pack, Reviews, Video, Images, Related searches",1.16,0.52
"small group tours sri lanka",12,110,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",2.13,0.56
"walker tours in sri lanka",6,110,I,"Reviews, Video, People also ask, Related searches, Sites",2.24,0.46
"sri lanka bicycle tours",6,110,"L, C","Local pack, Reviews, Video, Bottom Ads, AI Overview, Related searches",1.16,0.52
"sri lanka tours from uk",10,110,I,"Reviews, Video, Bottom Ads, Related searches",2.22,0.77
"cycling tours in sri lanka",4,110,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches",1.15,0.48
"luxury tour sri lanka",8,110,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Find results on, Related searches",2.99,0.63
"walkers tours in sri lanka",11,110,"L, N","Reviews, Sitelinks, Video, People also ask, GBP, Related searches",2.24,0.46
"sri lanka luxury tour",8,110,"L, C","Local pack, Reviews, Video, Images, Bottom Ads, Related searches, Sites",2.99,0.63
"cycle touring sri lanka",6,110,"L, C","Local pack, Reviews, Video, Images, Bottom Ads, AI Overview, Related searches, Sites",1.16,0.52
"sri lanka luxury tours",8,110,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",2.99,0.63
"sri lanka cycling tours",4,110,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",1.16,0.52
"luxury sri lanka tour",9,110,"L, C","Local pack, Reviews, Video, Bottom Ads, Find results on, AI Overview, Related searches",2.99,0.63
"sri lanka small group tours",12,110,I,"Reviews, Video, AI Overview, Related searches, Sites",2.13,0.56
"guided tours sri lanka",10,110,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",2.86,0.42
"small group tour sri lanka",12,110,I,"Reviews, Video, Related searches, Sites",2.13,0.56
"sri lanka guided tours",10,110,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",2.86,0.42
"luxury tours sri lanka",8,110,"L, C","Local pack, Reviews, Video, People also ask, Top Ads, Bottom Ads, Related searches, Sites",2.99,0.63
"cycling tours sri lanka",4,110,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",1.16,0.52
"walking tours sri lanka",10,110,"L, C","Local pack, Reviews, Video, Related searches",1.57,0.51
"luxury tours to sri lanka",11,110,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",2.99,0.63
"small group tours of sri lanka",12,110,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches, Sites",2.13,0.56
"luxury sri lanka tours",8,110,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches, Sites",2.99,0.63
"guided tour sri lanka",10,110,I,"Reviews, Video, Related searches, Sites",2.86,0.42
"walker tours sri lanka",10,110,"L, C","Reviews, Video, People also ask, Bottom Ads, GBP, Related searches",1.57,0.51
"day tours from colombo sri lanka",8,90,I,"Reviews, Video, People also ask, Bottom Ads, Related searches",0.33,0.56
"best tour operator sri lanka",11,90,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",3.84,0.37
"best tour operator in sri lanka",12,90,"L, C","Local pack, Reviews, Video, People also ask, Related searches",3.84,0.37
"blue lanka tours sri lanka",11,90,"L, C","Reviews, Video, Bottom Ads, GBP, Related searches, Sites",1.64,0.54
"sri lanka escorted tours",9,90,"L, C","Local pack, Reviews, Video, Related searches, Sites",2.52,0.35
"sri lanka best tour operator",11,90,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",3.08,0.65
"best sri lanka tour packages",0,90,,,0.95,0.74
"best tour operator for sri lanka",13,90,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",3.08,0.65
"best sri lanka tour company",0,90,,,3.63,0.42
"england cricket tour sri lanka 2026",7,90,I,"Video, People also ask, Bottom Ads, Sports, Related searches",0,0.06
"best tour companies in sri lanka",16,90,"L, C","Local pack, Reviews, Video, People also ask, Related searches",3.08,0.65
"best tour operators in sri lanka",12,90,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",3.08,0.65
"best tour packages sri lanka",0,90,,,0.95,0.74
"best sri lanka tour operator",12,90,"L, C","Local pack, Reviews, Video, People also ask, Related searches",3.08,0.65
"tour operators to sri lanka",16,70,"L, C","Local pack, Reviews, Video, Related searches",2.5,0.72
"motorbike tours sri lanka",0,70,,,0.39,0.36
"motorcycle tours sri lanka",0,70,,,0.39,0.36
"sri lanka motorbike tour",0,70,,,0.39,0.36
"sri lanka tours and packages",13,70,"L, C","Local pack, Reviews, Video, AI Overview, Related searches, Sites",0.64,0.66
"tour to sri lanka packages",10,70,I,"Reviews, Video, Bottom Ads, AI Overview, Related searches, Sites",1.27,0.79
"mercury tours sri lanka",0,70,,,0.36,0.69
"tour companies sri lanka",18,70,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches",2.5,0.72
"tour packages from sri lanka",13,70,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",0.64,0.66
"sri lanka cricket tours",7,70,I,"Reviews, Video, People also ask, Sports, Related searches",0.76,0.3
"best tour packages in sri lanka",13,70,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",1.3,0.75
"sri lanka tour package for family",10,70,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",1.33,0.75
"sri lanka colombo city tour",14,70,I,"Reviews, Video, People also ask, Images, Bottom Ads, Related searches",0.38,0.59
"tour company sri lanka",18,70,"L, C","Local pack, Reviews, Video, People also ask, Related searches",4.21,0.74
"sri lanka motorbike tours",0,70,,,0.39,0.36
"tour sri lanka packages",10,70,I,"Reviews, Video, Bottom Ads, AI Overview, Related searches, Sites",0.64,0.66
"visit sri lanka tours",15,70,"I, N","Reviews, Sitelinks, People also ask, Bottom Ads, Related searches, Sites",1.19,0.51
"sri lanka cricket tour",12,70,I,"Reviews, Video, People also ask, Sports, Related searches",0.76,0.3
"motorcycle tour sri lanka",0,70,,,0.39,0.36
"tour company in sri lanka",19,70,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches, Sites",2.5,0.72
"sri lanka tours from colombo",12,70,I,"Reviews, Video, People also ask, Top Ads, Bottom Ads, Related searches",1.4,0.56
"colombo tours sri lanka",6,70,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",1.4,0.56
"tour of sri lanka packages",10,70,I,"Reviews, Video, Bottom Ads, AI Overview, Related searches, Sites",0.64,0.66
"tour companies in sri lanka",18,70,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",2.5,0.72
"sri lanka tours company",16,70,"L, C","Local pack, Reviews, Video, People also ask, Related searches",2.5,0.72
"sri lanka tour companies",18,70,"L, C","Local pack, Reviews, Video, People also ask, Sites",2.5,0.72
"sri lanka tours intrepid",0,70,,,1.34,0.39
"sri lanka tour company",18,70,"L, C","Local pack, Reviews, Video, People also ask, Related searches",2.5,0.72
"tour sri lanka package",7,70,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches",0.64,0.66
"intrepid tours sri lanka",13,70,"I, N","Reviews, Sitelinks, People also ask, Related searches",0.99,0.38
"mercury sri lanka tours",6,70,"I, N","Reviews, Sitelinks, Video, People also ask, Bottom Ads, Related searches, Sites",0.5,0.56
"sri lanka motorcycle tours",0,70,,,0.39,0.36
"sri lanka tour from colombo",0,50,,,1.18,0.72
"escorted tour sri lanka",5,50,I,"Reviews, Video, Bottom Ads, Related searches",2.43,0.85
"titan tours sri lanka",0,50,,,0.93,0.66
"tour india and sri lanka",0,50,,,2.41,0.87
"tours of india and sri lanka",0,50,,,2.41,0.87
"family tours in sri lanka",6,50,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches",1.77,0.75
"tailor made tours in sri lanka",9,50,"L, C","Local pack, Reviews, Bottom Ads, Related searches, Sites",4.14,0.26
"best tours sri lanka",13,50,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",2.37,0.66
"sri lanka tour holiday packages",0,50,,,0.93,0.79
"sri lanka family tours",9,50,"L, C","Reviews, Video, Images, Bottom Ads, GBP, Related searches",1.77,0.75
"contiki tours sri lanka",0,50,,,1.17,0.34
"escorted tours to sri lanka",9,50,"L, C","Reviews, Video, Bottom Ads, GBP, Related searches, Sites",2.43,0.85
"best sri lanka tours",13,50,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",2.37,0.66
"sri lanka family tour",0,50,I,,1.77,0.75
"india and sri lanka tours",5,50,I,"Reviews, Video, Top Ads, Bottom Ads, AI Overview, Related searches, Sites, Middle Ads",1.85,0.81
"tailor made tours sri lanka",9,50,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",4.14,0.26
"india and sri lanka tour",5,50,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",1.85,0.81
"escorted tours sri lanka",11,50,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",2.43,0.85
"sri lanka maldives tour packages",0,50,,,1.28,0.16
"sri lanka maldives tour package",0,50,,,1.28,0.16
"family tours sri lanka",4,50,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches",1.77,0.75
"sri lanka tour guide map",0,50,,,0,0.16
"tour of india and sri lanka",0,50,,,2.41,0.87
"sri lanka tour operators",11,40,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches",4.45,0.76
"sri lanka explore tours",0,40,,,0.35,0.69
"sri lanka tour driver",0,40,,,1.44,0.66
"sri lanka tea plantation tour",5,40,"L, C","Local pack, Reviews, Video, People also ask, Images, Find results on, AI Overview, Related searches",0.54,0.23
"cultural triangle tour sri lanka",0,40,,,1.28,0.62
"sri lanka cultural triangle tour",5,40,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches, Sites",1.03,0.67
"sri lanka tour operator",0,40,I,,4.45,0.76
"england cricket tour to sri lanka",10,40,I,"Video, People also ask, Bottom Ads, AI Overview, Related searches",0,0.26
"tui tours sri lanka",13,40,I,"Reviews, Video, People also ask, Related searches",0.8,0.19
"explore sri lanka tours",0,40,,,0.35,0.69
"explore sri lanka tour",10,40,I,"Reviews, Video, Bottom Ads",0.86,0.71
"england cricket tours to sri lanka",10,40,I,"Video, AI Overview, Related searches",0,0.26
"tour operators for sri lanka",13,40,"L, C","Local pack, Reviews, Video, People also ask, Related searches",4.45,0.76
"tour operators in sri lanka",16,40,"L, C","Local pack, Reviews, Video, People also ask, Images, Bottom Ads, Related searches",4.45,0.76
"cultural triangle tours sri lanka",0,40,,,1.28,0.62
"mercury holidays sri lanka tours",11,40,"I, N","Sitelinks, Video, People also ask, Related searches",0.52,0.52
"tours of sri lanka cultural triangle",5,40,I,"Reviews, Video, Bottom Ads, AI Overview, Sites",1.03,0.67
"tour operator in sri lanka",13,40,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",4.45,0.76
"group tours to sri lanka",12,40,I,"Reviews, Video, AI Overview, Related searches",3.82,0.75
"sri lanka tours driver",5,40,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches",1.31,0.75
"sri lanka tailor made tours",7,40,"L, C","Local pack, Reviews, Video, Related searches, Sites",4.32,0.32
"sri lanka driver tours",5,40,"L, C","Reviews, Video, People also ask, Bottom Ads, GBP, Related searches, Sites",1.31,0.75
"cultural triangle sri lanka tour",0,40,,,1.28,0.62
"adventure tour sri lanka",4,30,"L, C","Local pack, Reviews, Video, Related searches, Sites",1.46,0.82
"maldives tours from sri lanka",5,30,"L, C","Reviews, Video, GBP, Related searches, Sites",1.39,0.73
"sri lanka walking tours",6,30,"L, C","Local pack, Reviews, Video, Related searches",0,0.86
"sri lanka tour itineraries",6,30,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",1.94,0.84
"tours from colombo sri lanka",12,30,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",0.25,0.83
"7 day tour sri lanka",5,30,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",0.72,0.83
"itinerary for sri lanka tour",6,30,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Image, Sites",1.94,0.84
"tour of sri lanka itinerary",6,30,I,"Reviews, Video, Bottom Ads, Find results on, AI Overview, Related searches",1.94,0.84
"sri lanka food tour",6,30,I,"Reviews, Video, Images, Find results on, AI Overview, Related searches",0.66,0.32
"adventure sri lanka tours",9,30,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",1.46,0.82
"sri lanka adventure tour",8,30,"L, C","Local pack, Reviews, Video, Images, Related searches, Sites",1.46,0.82
"maldives tour from sri lanka",0,30,,,1.42,0.67
"adventure tour in sri lanka",9,30,"L, C","Local pack, Reviews, Video, Related searches, Sites",1.46,0.82
"sri lanka cultural tours",5,30,"L, C","Local pack, Reviews, Video, Related searches, Sites",0,0.2
"cultural tours in sri lanka",7,30,"L, C","Local pack, Reviews, Video, Bottom Ads, AI Overview, Related searches, Sites",0,0.2
"best of sri lanka tour",12,30,I,"Reviews, Video, Top Ads, Bottom Ads, AI Overview, Sites",2.7,0.77
"sri lanka adventure tours",6,30,"L, C","Local pack, Reviews, Video, People also ask, Images, Bottom Ads, Related searches, Sites",1.46,0.82
"tour itinerary in sri lanka",6,30,I,"Video, People also ask, AI Overview, Related searches, Sites",1.94,0.84
"sri lanka tour of pakistan",7,30,I,"Video, People also ask, Images, Sports, Related searches",0,0
"sri lanka maldives tour",0,30,,,1.42,0.67
"best tours in sri lanka",13,30,"L, C","Local pack, Reviews, Video, People also ask, AI Overview, Related searches, Sites",2.7,0.77
"adventure tours in sri lanka",0,30,I,,1.46,0.82
"tour to sri lanka and maldives",5,30,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",2.15,0.83
"sri lanka cultural tour",5,30,"L, C","Local pack, Reviews, Video, Bottom Ads, AI Overview, Related searches, Sites",0,0.2
"sri lanka walkers tours",9,30,"L, C","Reviews, Video, People also ask, Bottom Ads, GBP, Related searches",1.14,0.86
"escorted tours to sri lanka from uk",9,30,I,"Reviews, Bottom Ads, AI Overview, Related searches",2.73,0.8
"sri lanka culture tour",6,30,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",0,0.2
"kandy sri lanka tour",11,30,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches, Sites",0.37,0.33
"luxury tour packages in sri lanka",9,30,I,"Reviews, Video, People also ask, AI Overview, Related searches",3.6,0.4
"tour sri lanka maldive",0,30,,,1.42,0.67
"best tours of sri lanka",13,30,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",2.7,0.77
"tour sri lanka maldives",5,30,I,"Reviews, Video, Related searches, Sites",1.39,0.73
"sri lanka tour pakistan",7,30,I,"Video, People also ask, Sports, Related searches",0,0
"sri lanka tour to pakistan",10,30,I,"Video, People also ask, Related searches",0,0
"sri lanka guided tour holidays",10,30,I,"Reviews, Video, AI Overview, Related searches, Sites",3.32,0.5
"sri lanka tour itinerary",6,30,I,"Reviews, Video, People also ask, Bottom Ads, Find results on, AI Overview, Related searches, Middle Ads",1.94,0.84
"pakistan tour of sri lanka",7,30,I,"Video, People also ask, Images, Find results on, Sports, Related searches",0,0
"cultural tour sri lanka",5,30,I,"Reviews, Video, Images, AI Overview, Related searches",0,0.2
"cheap sri lanka tour packages",9,30,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",1.33,0.28
"tours sri lanka maldives",0,30,,,1.42,0.67
"tour to sri lanka 7 days",0,30,,,2.65,0.87
"sri lanka tour packages from colombo",13,30,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Image, Sites",0.46,0.31
"sri lanka 7 day tours",0,30,,,2.65,0.87
"tours to sri lanka and maldives",10,30,I,"Reviews, Video, Bottom Ads, AI Overview, Related searches, Sites",2.15,0.83
"adventure tours sri lanka",9,30,"L, C","Local pack, Reviews, Video, Related searches, Sites",1.46,0.82
"sri lanka luxury tour packages",9,30,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",3.6,0.4
"sri lanka 7 day tour",5,30,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Image, Sites",0.72,0.83
"tours to sri lanka from uk",10,30,I,"Reviews, Video, People also ask, Related searches, Sites",3.37,0.78
"columbus tours sri lanka",11,30,"L, N","Reviews, Sitelinks, Video, People also ask, GBP, Related searches",2.24,0.33
"sri lanka tour guide and driver",6,20,"L, C","Local pack, Reviews, Video, Related searches, Sites",1.91,0.66
"sri lanka birding tours",3,20,"L, C","Local pack, Reviews, Video, Related searches, Sites",0.7,0.51
"day tour sri lanka",19,20,I,"Reviews, Video, People also ask, Bottom Ads, Related searches",0,0.54
"tour india sri lanka",5,20,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",0,0.28
"sri lanka ramayana tour",0,20,,,0.45,0.46
"sri lanka cheap tour packages",0,20,,,0.8,0.7
"sri lanka tours packages from dubai",0,20,,,0,0.64
"package tours to sri lanka from india",0,20,,,0.75,0.75
"sri lanka tour in india",9,20,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Middle Ads",0,0.28
